,favorite_count,retweet_count,sentiment,source,text,user_fav_count,user_follower_count,user_friends_count,user_name,user_screen_name,user_url
0,335,354,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",No truth in graft charges against Narendra Modi-led Gujarat government by MB Shah panel. Where is Congress hiding? https://t.co/vuXeUJIXPu,25901,63059,907,Nupur,UnSubtleDesi,https://t.co/b9Y0F6hDYD
1,354,367,positive,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Our most respected jurist, Fali Nariman on the real&amp; present threat of Hindu Rashtra &amp; whether the SC will stand up
https://t.co/igX9UFQmG7",39,112343,31,Prashant Bhushan,pbhushan1,https://t.co/AuAqqutTBD
2,1104,213,positive,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Yogi Adityanath is fantastic ..I think he is better than Narendra Modi ..I hope he becomes the next prime minister,57,2775581,42,Ram Gopal Varma,RGVzoomin,https://t.co/xeooYsnkyL
3,0,0,neutral,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",   ! Narendra Modi https://t.co/jUdWUEgn8I,0,146,383,today samachar,today_samachar,https://t.co/UVUEcTgUek
4,0,0,neutral,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",   :  -  https://t.co/xEsOuN1iMf,21,4833,1131, ,KeralaNews24x7,
5,0,35,positive,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @NigelBritto: Lest we crawl: In @IndianExpress, the eminent Fali S Nariman offers a lesson (or two) from the Emergency. Important. https",181,117,618,Kailash Thakur,kthakur,http://t.co/4yNcM3BkBC
6,0,0,positive,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>",PM Narendra Modi`s `Mann Ki Baat`: Missed it? Here is how you can WATCH FULL EPISODE https://t.co/E9kN1pcmxd #kashmirtelegraph,15,449,6,KashmirTelegraph.com,Kashmir4India,https://t.co/DrGO8tdGic
7,0,0,negative,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","Mann Ki Baat: Use less cash, try to do digital payment, says PM NarendraModi https://t.co/FreTKGM5ps",17,287,1248,Sushil kumar,ersushilkumar,https://t.co/P8xQgVut9S
8,0,1,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Ibrankhan4: @narendramodi Har har maha dev Shri narendra modi G,4,4,124,MOHAMMAD IBRAN,Ibrankhan4,
9,0,0,neutral,"<a href=""http://orbitcollection.in"" rel=""nofollow"">orbitcollection</a>",Mann Ki Baat: PM Narendra Modi wishes Bangladesh on its Independence Day https://t.co/c4cEIDts6s https://t.co/g4FMBArb1k,1,26135,13522,News,orbitcollection,https://t.co/JZaVVJdU7O
