,favorite_count,retweet_count,sentiment,source,text,user_fav_count,user_follower_count,user_friends_count,user_name,user_screen_name,user_url
0,1176,874,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Libtard meltdown, NYT drivel, and now senility of Fali Nariman. Looks like Yogi Adityanath is gonna be the Prime Minister some day.",65,67227,577,Rahul Roushan,rahulroushan,https://t.co/7kUAReaXal
1,1027,588,positive,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Yogi Adityanath ji becomes first CM to give one Lakh Rs per yatri help to Kailas Manasarovar pilgrims and a Kailas Bhawan for Yatris. Great,145,126459,222,Tarun Vijay,Tarunvijay,https://t.co/3wrWBPhGs0
2,887,758,negative,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Compare liberal India media meltdown on Yogi Adityanath to its glorification of terrorists Burhan Wani and Afzal Guru. Hidden agenda?,1384,31243,348,Dr David Frawley,davidfrawleyved,http://t.co/fnbJK3JORv
3,0,0,neutral,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",    #        @yogi_adityanath           @narendramodi     ,5800,84,199,rajinder verma,rajinde57748157,
4,0,126,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ANINewsUP: Tulsidas ji ne kabhi Akbar ko raja nahi maana tha, unka kehna tha ki mera raja ek hi hai-Bhagwan Ram: Yogi Adityanath https:",32023,273,142,SANJEEV KUMAR SINGH,sanjeev061970,
5,0,126,neutral,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","RT @ANINewsUP: Tulsidas ji ne kabhi Akbar ko raja nahi maana tha, unka kehna tha ki mera raja ek hi hai-Bhagwan Ram: Yogi Adityanath https:",6615,244,134,Sharad,sharadbhattce,
6,0,169,positive,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @5Forty3: Destiny has probably brought Yogi Adityanath to lead UP at the right moment in history to restore Ayodhya to Lord Rama!,5107,440,849,Medha,reach_anuradha,
7,0,0,negative,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",BJP's Vikram Saini unapologetic about 'will break limbs of cow killers' threat https://t.co/n9lDkaR1qZ https://t.co/TzVf4OeCXW,1,56,14,Baba Ji ka Thullu,babajikathullu0,
8,0,0,negative,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Only police, administration can act against illegal slaughterhouses, says UP DGP https://t.co/ZSO9GtQtc4 https://t.co/A9JDTHbm3Z",1,56,14,Baba Ji ka Thullu,babajikathullu0,
9,0,368,neutral,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @YesIamSaffron:     @laluprasadrjd    @yogi_adityanath   ?
   ",11872,862,1788,Mr Chopra,NareshMelbourne,
